GEOID,TotPop,TotUnder5,Hispanic,BlackAloneOrCombo,AsianAloneOrCombo,AmerIndAloneorCombo,NatHawAloneOrCombo,ratioUnder5
48029170300,6350,517,5880,465,25,0,6,8.141732283
48029170401,4358,531,3687,343,0,0,0,12.1844883
48029170402,5023,543,4932,123,0,33,0,10.81027275
48029170500,4887,371,4153,29,15,42,0,7.59156947
48029170600,4629,101,4411,44,68,49,0,2.181896738
48029170700,5114,253,5004,21,1,0,0,4.947203754
48029170800,1539,65,1418,37,9,23,0,4.223521767
48029170900,4021,311,3844,64,125,125,0,7.734394429
48029171000,6019,490,5976,0,12,9,0,8.140887191
48029171100,3835,95,3726,39,10,37,0,2.477183833
48029171200,4089,250,3986,35,5,25,0,6.113964294
48029171301,2787,165,2601,78,9,33,0,5.920344456
48029171302,4920,194,3962,129,81,46,3,3.943089431
48029171401,4917,331,4621,28,22,9,0,6.731747
48029171402,6506,550,6245,37,74,36,0,8.453735014
48029171501,2516,150,2167,292,5,5,0,5.961844197
48029171502,5728,315,5189,318,5,195,0,5.499301676
48029171601,4263,472,4164,99,7,289,0,11.07201501
48029171602,3532,280,3129,296,17,20,0,7.927519819
48029171700,9198,1011,7166,871,554,43,0,10.9915199
48029171801,5617,397,4430,122,161,47,0,7.067829802
48029171802,6128,481,5198,479,34,14,0,7.84921671
48029171902,14664,1248,10523,1434,233,397,106,8.510638298
48029171903,7104,644,5992,343,0,44,0,9.065315315
48029171912,7600,465,5307,481,358,120,30,6.118421053
48029171913,6403,558,4665,987,140,135,11,8.714665001
48029171914,5531,325,3895,429,50,69,32,5.875971795
48029171915,2240,295,1517,292,38,0,20,13.16964286
48029171916,8855,1044,5156,966,350,85,112,11.78994918
48029171917,9549,917,5833,931,1192,113,0,9.603099801
48029171918,6463,539,4584,309,183,360,22,8.339780288
48029171919,5017,611,3366,747,44,67,13,12.17859278
48029171920,8712,522,6574,621,149,0,59,5.991735537
48029171921,5253,384,3667,364,534,64,334,7.310108509
48029171922,3809,417,2873,503,32,40,15,10.94775532
48029171923,10157,748,6415,1390,445,91,47,7.364379246
48029171924,7134,480,3681,1194,365,190,0,6.728343146
48029171925,10098,585,6222,884,915,71,122,5.793226381
48029172002,17112,1943,9510,2485,885,129,152,11.35460496
48029172003,6368,525,3422,868,328,44,12,8.244346734
48029172004,4220,226,1700,531,81,54,0,5.355450237
48029172005,11905,1424,5539,1732,961,198,0,11.96136077
48029172006,8327,796,3775,1010,284,318,0,9.559265041
48029172007,11906,1343,6297,1464,333,226,0,11.28002688
48029180101,5297,147,4268,18,24,167,0,2.775155749
48029180102,1918,137,1343,19,29,57,0,7.142857143
48029180201,5042,297,4434,187,39,44,0,5.890519635
48029180202,4972,450,3886,178,93,31,0,9.050683829
48029180300,5062,408,4412,129,14,60,13,8.060055314
48029180400,4761,759,4367,144,7,108,0,15.94202899
48029180501,4514,160,3373,376,45,17,19,3.544528135
48029180503,5033,232,4647,113,0,51,0,4.609576793
48029180504,4704,275,4434,72,12,99,0,5.846088435
48029180602,3721,155,2533,349,116,39,0,4.165546896
48029180603,2218,187,1464,296,98,40,0,8.431018936
48029180604,6854,514,5211,298,123,15,0,7.499270499
48029180701,4028,138,2007,405,284,0,0,3.426017875
48029180702,6786,588,3814,822,80,11,87,8.66489832
48029180800,2468,118,1523,252,8,16,0,4.781199352
48029180901,5687,248,4424,57,77,56,0,4.360822929
48029180902,7738,407,6583,112,33,98,33,5.259757043
48029181001,3698,250,2365,59,55,31,0,6.760411033
48029181003,7264,573,3093,855,992,67,0,7.888215859
48029181004,5308,586,2814,484,355,112,28,11.03993971
48029181005,3952,246,2182,529,58,41,0,6.224696356
48029181100,6240,413,3034,132,255,55,0,6.618589744
48029181200,5182,106,2265,199,178,36,0,2.045542262
48029181301,4661,204,2613,497,384,75,0,4.376743188
48029181302,6557,251,3536,609,123,36,16,3.827970108
48029181303,4175,515,1711,381,751,0,0,12.33532934
48029181402,2715,242,1118,353,302,11,0,8.913443831
48029181403,6778,671,2425,307,2220,0,0,9.89967542
48029181404,5769,573,1286,814,2141,84,30,9.932397296
48029181503,7821,477,3678,511,311,15,0,6.098964327
48029181504,6337,366,2724,1512,511,65,0,5.775603598
48029181505,4932,258,2943,74,118,78,0,5.231143552
48029181506,4310,302,2862,288,152,122,0,7.006960557
48029181601,3340,216,2571,163,0,26,0,6.467065868
48029181602,5924,440,5118,249,124,65,92,7.42741391
48029181703,8197,501,4022,166,309,172,198,6.111992192
48029181704,6397,420,4854,369,178,103,80,6.565577615
48029181705,5780,570,3037,658,663,39,45,9.861591696
48029181711,8971,486,5259,335,652,478,0,5.417456248
48029181712,4404,345,2364,328,119,131,0,7.833787466
48029181713,7830,430,5013,398,62,338,0,5.491698595
48029181715,6566,400,4653,434,84,101,26,6.091989034
48029181716,8823,699,6862,350,148,67,101,7.922475349
48029181718,5833,390,2523,482,91,247,0,6.686096348
48029181720,5128,483,2668,434,157,58,0,9.418876755
48029181721,3887,118,1921,121,182,0,0,3.035760226
48029181722,5145,324,3073,543,82,194,0,6.297376093
48029181723,5239,314,2923,608,395,91,11,5.993510212
48029181724,5833,550,3101,445,506,39,0,9.429110235
48029181725,4739,471,3091,699,212,15,0,9.938805655
48029181726,10727,1174,6851,752,441,218,20,10.94434604
48029181727,4257,234,3207,244,35,17,8,5.496828753
48029181728,12903,1261,7900,1071,820,90,64,9.772921026
48029181729,9776,867,5624,1080,467,338,373,8.868657938
48029181730,3872,341,2390,384,115,155,0,8.806818182
48029181731,7908,449,4750,503,135,54,196,5.677794638
48029181808,1625,75,795,224,55,0,0,4.615384615
48029181809,6490,714,4046,517,466,46,25,11.00154083
48029181811,4020,227,2020,194,139,17,0,5.646766169
48029181813,7664,710,3514,1432,631,156,21,9.264091858
48029181814,6593,284,3066,316,879,81,72,4.307598969
48029181815,3326,247,1392,287,147,0,19,7.426337943
48029181816,4544,207,2276,157,244,85,19,4.555457746
48029181817,3664,145,2138,97,303,80,0,3.957423581
48029181818,6229,479,3225,375,707,29,0,7.689837855
48029181819,7142,492,3550,846,697,15,0,6.888826659
48029181820,7990,80,3528,1780,620,192,26,1.001251564
48029181821,3713,212,1905,176,387,204,0,5.709668731
48029181822,5234,294,3051,240,184,105,0,5.617118838
48029181823,3451,113,1489,382,611,72,0,3.274413214
48029181824,3546,132,1810,576,54,12,67,3.72250423
48029181825,4808,235,1935,456,525,51,0,4.887687188
48029181826,7974,663,4016,637,611,82,0,8.314522197
48029181901,5747,137,2432,641,822,0,53,2.383852445
48029181902,8431,663,2613,261,559,134,41,7.863835844
48029182001,5861,344,2388,169,496,0,91,5.869305579
48029182002,9779,543,3277,579,943,190,2,5.552715002
48029182003,5170,470,2225,293,711,201,7,9.090909091
48029182101,8950,316,1763,175,464,204,0,3.530726257
48029182102,8407,682,2690,300,400,0,205,8.11228738
48029182103,3004,247,1099,110,41,91,0,8.222370173
48029182105,2873,212,1118,204,175,0,0,7.379046293
48029182106,7242,296,2777,212,360,182,0,4.08726871
48029190100,3801,176,3106,96,17,171,0,4.630360431
48029190200,4302,156,1932,72,98,142,16,3.626220363
